modelo,variable,lag,acf,pacf
BiGRU-opt,precip,9,0.04023,0.02333
BiGRU-opt,precip,10,0.04148,0.0236
BiGRU-opt,precip,11,0.05616,0.03827
BiGRU-opt,precip,12,0.04564,0.02308
BiGRU-opt,precip,13,0.0447,0.02345
BiGRU-opt,precip,14,0.05851,0.03771
BiGRU-opt,precip,15,0.07246,0.04768
BiGRU-opt,precip,16,0.09076,0.0625
BiGRU-opt,precip,17,0.0901,0.05523
BiGRU-opt,precip,18,0.06002,0.02196
BiGRU-opt,precip,19,0.08691,0.05652
BiGRU-opt,precip,20,0.05981,0.02063
BiGRU-opt,evap,0,1.0,1.0
BiGRU-opt,evap,1,0.15321,0.15321
BiGRU-opt,evap,2,0.07492,0.05268
BiGRU-opt,evap,3,0.0583,0.04041
BiGRU-opt,evap,4,0.0609,0.04409
BiGRU-opt,evap,5,0.05871,0.03936
BiGRU-opt,evap,6,0.03852,0.01742
BiGRU-opt,evap,7,0.02116,0.00385
BiGRU-opt,evap,8,0.04879,0.03724
BiGRU-opt,evap,9,-0.00632,-0.02681
BiGRU-opt,evap,10,0.02396,0.01928
BiGRU-opt,evap,11,0.04727,0.03786
BiGRU-opt,evap,12,0.03458,0.01741
BiGRU-opt,evap,13,0.02821,0.01308
BiGRU-opt,evap,14,0.01981,0.00646
BiGRU-opt,evap,15,0.00931,-0.00327
BiGRU-opt,evap,16,0.01414,0.00266
BiGRU-opt,evap,17,0.00339,-0.00448
BiGRU-opt,evap,18,0.01569,0.00907
BiGRU-opt,evap,19,0.02117,0.01289
BiGRU-opt,evap,20,0.01674,0.00922
BiGRU-opt,tmax,0,1.0,1.0
BiGRU-opt,tmax,1,0.07802,0.07802
BiGRU-opt,tmax,2,-0.00206,-0.0082
BiGRU-opt,tmax,3,0.04172,0.04278
BiGRU-opt,tmax,4,-0.00821,-0.01499
BiGRU-opt,tmax,5,-0.00481,-0.00243
BiGRU-opt,tmax,6,0.0079,0.00657
BiGRU-opt,tmax,7,0.02112,0.02106
BiGRU-opt,tmax,8,-0.01129,-0.01444
BiGRU-opt,tmax,9,0.00142,0.00312
BiGRU-opt,tmax,10,0.01039,0.00825
BiGRU-opt,tmax,11,0.01495,0.01529
BiGRU-opt,tmax,12,-0.00401,-0.00669
BiGRU-opt,tmax,13,0.00399,0.004
BiGRU-opt,tmax,14,-0.00142,-0.00351
BiGRU-opt,tmax,15,0.00569,0.00764
BiGRU-opt,tmax,16,-0.01174,-0.01369
BiGRU-opt,tmax,17,0.01907,0.02116
BiGRU-opt,tmax,18,0.00551,0.00115
BiGRU-opt,tmax,19,-0.00485,-0.00329
BiGRU-opt,tmax,20,0.03417,0.03277
BiGRU-opt,tmin,0,1.0,1.0
BiGRU-opt,tmin,1,0.11368,0.11368
BiGRU-opt,tmin,2,0.00301,-0.01005
BiGRU-opt,tmin,3,0.01786,0.01891
BiGRU-opt,tmin,4,-0.00686,-0.01117
BiGRU-opt,tmin,5,-0.01033,-0.00822
BiGRU-opt,tmin,6,0.01502,0.01696
BiGRU-opt,tmin,7,0.02409,0.02094
BiGRU-opt,tmin,8,0.03614,0.0319
BiGRU-opt,tmin,9,-0.00186,-0.01027
BiGRU-opt,tmin,10,0.01521,0.01653
